"location_id","location","parameter","value","date_utc","unit","lat","long","country"
10494,"Alphington","pm25",2.15,2024-08-27 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.24,2024-08-27,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.02,2024-08-26 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.71,2024-08-26 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.69,2024-08-26 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.88,2024-08-26 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.54,2024-08-26 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.69,2024-08-26 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.17,2024-08-26 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.45,2024-08-26 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3,2024-08-26 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.31,2024-08-26 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-26 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.82,2024-08-26 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.92,2024-08-26 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.27,2024-08-26 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.44,2024-08-26 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-26 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.05,2024-08-26 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.79,2024-08-26 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.66,2024-08-26 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.7,2024-08-26 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.67,2024-08-26 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.6,2024-08-26 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.45,2024-08-26 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.75,2024-08-26,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.6,2024-08-25 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.15,2024-08-25 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-25 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.67,2024-08-25 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.31,2024-08-25 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0.83,2024-08-25 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.71,2024-08-25 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.67,2024-08-25 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.98,2024-08-25 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-25 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-25 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.93,2024-08-25 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.84,2024-08-25 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.39,2024-08-25 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-25 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.61,2024-08-25 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-25 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.96,2024-08-25 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.91,2024-08-25 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.56,2024-08-25 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.17,2024-08-25 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.27,2024-08-25 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",9.93,2024-08-25 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.88,2024-08-25,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.01,2024-08-24 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.45,2024-08-24 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.34,2024-08-24 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.27,2024-08-24 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.01,2024-08-24 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.09,2024-08-24 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.73,2024-08-24 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.16,2024-08-24 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.16,2024-08-24 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.88,2024-08-24 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.12,2024-08-24 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.43,2024-08-24 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.75,2024-08-24 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.27,2024-08-24 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.88,2024-08-24 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.78,2024-08-24 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.22,2024-08-24 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.27,2024-08-24 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",9.96,2024-08-24 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.99,2024-08-24 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.6,2024-08-24 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",10.34,2024-08-24 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.48,2024-08-24 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.16,2024-08-24,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.64,2024-08-23 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0.77,2024-08-23 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.62,2024-08-23 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-23 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.77,2024-08-23 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.58,2024-08-23 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.54,2024-08-23 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.63,2024-08-23 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-23 15:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0,2024-08-23 14:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.04,2024-08-23 13:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.88,2024-08-23 12:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.35,2024-08-23 11:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",0.14,2024-08-23 10:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",1.62,2024-08-23 09:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.05,2024-08-23 08:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.34,2024-08-23 07:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.18,2024-08-23 06:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.91,2024-08-23 05:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.52,2024-08-23 04:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",6.22,2024-08-23 03:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",2.71,2024-08-23 02:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",4.65,2024-08-23 01:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",8.6,2024-08-23,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.73,2024-08-22 23:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",7.13,2024-08-22 22:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.21,2024-08-22 21:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.44,2024-08-22 20:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",3.36,2024-08-22 19:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.59,2024-08-22 18:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.69,2024-08-22 17:00:00,"µg/m³",-37.7784081,145.0306,"AU"
10494,"Alphington","pm25",5.27,2024-08-22 16:00:00,"µg/m³",-37.7784081,145.0306,"AU"
